song_id;language;field;value
5912977;JA;name;グリーグ: 抒情小品集第8巻 Op.65 - VI. トロルドハウゲンの婚礼の日
5912985;JA;name;グリーグ: 組曲 「十字軍の戦士シーグル」 Op.56 - 凱旋行進曲
5913294;JA;name;シューマン: ピアノ五重奏曲 変ホ長調 Op.44 - III. molto vivace - TrioI - TrioII - L'istesso tempo
5913309;JA;name;シューマン: ピアノ協奏曲 イ短調 Op.54 - I. Allegro affettuoso
5913326;JA;name;シューマン: 森の情景 Op.82 - 予言の鳥
5913358;JA;name;ドビュッシー: 牧神の午後への前奏曲
5913366;JA;name;ドビュッシー: 夜想曲 - III. シレーヌ
5913371;JA;name;ドビュッシー: ベルガマスク組曲 - III. 月の光
5913406;JA;name;J. シュトラウスII世: 喜歌劇 「こうもり」 - 序曲
5913416;JA;name;J. シュトラウスII世: ワルツ 「ウィーンの森の物語」 Op.325
5913420;JA;name;J. シュトラウスII世: アンネン・ポルカ Op.117
5913431;JA;name;J. シュトラウスII世: ワルツ 「ウィーン気質」 Op.354
5913435;JA;name;J. シュトラウスII世: ピチカート・ポルカ
5913439;JA;name;J. シュトラウスII世: ワルツ 「南国のばら」 Op.388
5913443;JA;name;J. シュトラウスII世: トリッチ・トラッチ・ポルカ Op.214
5913447;JA;name;J. シュトラウスII世: 皇帝円舞曲 Op.437
5913455;JA;name;J. シュトラウスII世: ワルツ 「美しく青きドナウ」 Op.314
5913486;JA;name;ヘンデル: 王宮の花火の音楽 - I. 序曲
5913501;JA;name;ヘンデル: 合奏協奏曲 Op.3 - III. ト長調 HWV.314 - I. Largo e staccaro
5913560;JA;name;ヘンデル: 合奏協奏曲 Op.6 - V. ニ長調 HWV.323 - II. Allegro
5913585;JA;name;ヘンデル: 合奏協奏曲 ハ長調 「アレクサンダーの饗宴」 HWV.318 - I. Allegro
5913593;JA;name;ヘンデル: オーボエ協奏曲第3番 ト短調 - III. Largo
5913618;JA;name;ヘンデル:  「水上の音楽」 第1組曲 へ長調 - IX. ホーンパイプ
5913626;JA;name;ヘンデル:  「水上の音楽」 第2組曲 ニ長調 - II. アラ・ホーンパイプ
5914801;JA;name;ヴェルディ: 歌劇 「運命の力」 - 序曲
5914882;JA;name;ヴェルディ: 歌劇 「イル・トロヴァトーレ」 - ああ、いとしいわが恋人よ
5914889;JA;name;ヴェルディ: 歌劇 「リゴレット」 - 私の心を初めてときめかせた、その愛しいお名前が
